Специальность, 1. Врач должен регулярно тесно общаться с пациентами," 2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты"," 3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию", 4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя," 5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы"," 7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии", 8. Врач проводит большую часть дня сидя на одном месте, 9. Врач должен быстро принимать решения и не теряться в критических ситуациях," 10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде, 12. Врач ведет одного и того же пациента длительное время: примерно год и более, 13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог", 16. У врача этой специальности более высокий риск заразиться от пациента," 17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер"," 18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов, 20. Врач работает по предсказуемому и постоянному графику," 21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам", 22. Работа предполагает ночные регулярные ночные или суточные смены
Психиатрия-наркология,5,5,3,2,2,2,4,3,5,1,5,1,2,3,3,3,4,5,5,3,3,5
Психиатрия-наркология,5,5,1,3,1,1,3,3,5,1,4,1,2,5,3,3,3,5,5,4,5,5
Психиатрия-наркология,5,5,1,1,1,3,4,4,5,1,1,2,4,4,3,2,5,5,1,1,4,5
Психиатрия-наркология,3,4,1,1,1,1,2,3,4,2,2,4,2,3,4,2,4,4,4,4,3,3
Психиатрия-наркология,5,5,2,1,1,2,1,2,5,5,5,3,1,2,5,1,5,5,5,4,1,1
Психиатрия-наркология,5,5,1,1,1,1,4,4,4,4,5,5,1,5,2,5,5,5,2,5,5,5
Психиатрия-наркология,5,5,1,1,2,1,4,5,5,4,3,5,1,4,5,3,5,4,5,5,3,2
Психиатрия-наркология,5,1,1,1,1,1,4,5,5,3,1,5,1,5,1,5,5,1,1,5,5,1
Психиатрия-наркология,3,3,1,1,1,1,1,4,4,4,4,4,1,4,4,1,4,4,1,4,1,4
Психиатрия-наркология,5,5,1,2,1,1,4,5,4,2,3,5,1,5,3,2,5,4,2,4,2,1
Психиатрия-наркология,5,5,1,1,1,1,5,5,5,4,5,5,2,5,4,4,5,5,3,5,4,1
Психиатрия-наркология,3,3,3,3,3,4,1,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3
Психиатрия-наркология,5,5,1,1,1,1,1,5,5,1,5,5,1,5,4,2,5,5,4,5,1,1
Психиатрия-наркология,5,5,1,1,1,1,1,5,5,5,5,5,1,1,2,4,4,5,5,5,1,1
Психиатрия-наркология,3,4,2,2,3,3,3,2,3,2,3,4,3,4,4,5,3,3,2,2,3,4
Психиатрия-наркология,3,4,3,3,4,4,5,4,5,4,4,4,2,4,4,5,4,4,3,4,2,4
Психиатрия-наркология,5,5,2,2,3,4,4,4,5,4,5,5,4,3,4,4,4,5,5,4,4,5
Психиатрия-наркология,4,5,1,1,4,3,5,4,5,2,4,2,1,3,4,2,5,5,2,4,4,5
Психиатрия-наркология,5,5,4,4,5,3,4,2,5,2,5,4,3,4,4,2,3,5,3,5,5,4
Психиатрия,4,5,3,3,3,3,5,3,5,4,4,4,3,5,3,5,5,4,1,1,3,5
Психиатрия,5,4,4,4,3,3,5,3,5,2,3,3,3,4,4,3,3,5,4,3,3,3
Психиатрия,5,5,2,2,2,2,4,2,5,1,5,5,3,5,5,5,4,5,2,4,2,3
Психиатрия,5,5,5,1,1,2,5,4,5,4,5,5,3,5,5,1,5,5,5,5,5,3
Психиатрия,5,5,1,1,1,1,2,4,5,5,5,5,3,5,4,1,5,5,5,4,1,2
Психиатрия,5,5,3,2,5,5,5,3,5,3,3,3,3,4,5,4,5,5,2,3,3,3
Психиатрия,5,5,1,1,1,1,2,3,5,4,4,1,4,5,4,1,4,5,4,4,1,1
Психиатрия,5,4,1,1,1,1,5,4,5,3,4,4,2,5,3,3,5,5,2,4,3,3
Психиатрия,5,5,1,2,3,2,4,2,4,4,3,5,1,1,5,1,3,5,2,5,1,1
Психиатрия,5,2,1,1,1,1,1,1,5,5,5,1,1,3,2,1,1,5,5,5,1,1
Психиатрия,5,5,2,2,3,3,5,4,5,1,4,3,2,4,3,2,4,5,3,3,2,3
Психиатрия,5,5,2,2,1,3,1,3,3,3,3,4,2,5,2,3,3,5,5,4,1,4
Психиатрия,5,5,1,1,1,1,1,5,4,1,5,5,1,5,4,2,1,5,5,5,1,1
Психиатрия,5,4,2,1,4,5,4,1,5,1,5,4,2,2,5,4,2,5,2,2,2,5
Психиатрия,5,5,1,1,1,2,4,5,5,4,5,5,1,5,3,1,5,5,2,5,4,1
Психиатрия,5,3,1,1,1,1,2,4,3,1,4,4,1,4,2,1,3,4,3,5,3,4
Психиатрия,5,2,1,1,1,1,3,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1
Психиатрия,5,5,4,4,4,4,4,5,5,4,5,5,2,5,5,2,5,5,4,4,2,2
Психиатрия,5,5,1,1,1,2,3,3,4,4,5,4,1,5,1,2,5,5,3,5,3,3
Психиатрия,5,5,1,1,1,1,5,1,3,3,5,5,1,5,5,5,5,3,3,5,5,5
Психиатрия,5,5,1,1,1,1,3,5,3,1,2,5,1,5,2,1,3,5,5,5,1,3
Психиатрия,4,5,2,2,2,2,4,2,5,5,5,4,2,4,4,2,4,5,4,4,2,2
Психиатрия,4,5,2,2,2,2,5,2,5,1,5,4,2,2,5,2,5,5,4,2,2,5
Психиатрия,5,5,1,2,2,2,2,4,5,5,4,5,2,5,4,3,3,5,3,5,1,2
Психиатрия,5,4,2,1,2,2,4,2,3,1,3,2,3,4,3,1,4,4,3,2,1,1
Психиатрия,5,5,1,1,1,3,4,4,5,5,4,5,1,5,2,3,4,5,5,5,1,3
Психиатрия,5,5,1,1,1,1,2,5,5,5,5,5,1,5,3,1,5,5,3,4,3,1
Психиатрия,5,4,4,3,4,5,3,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4
Психиатрия,5,5,1,1,1,2,4,4,5,2,2,4,2,5,1,1,5,5,1,4,2,1
Психиатрия,5,5,1,1,1,2,4,4,5,2,2,4,2,5,1,1,5,5,1,4,2,1
Психиатрия,5,5,1,1,1,1,1,5,5,3,5,5,1,5,2,1,4,5,4,5,1,1
Психиатрия,5,5,1,1,5,1,5,5,5,5,5,5,1,5,5,5,2,1,5,1,1,5
Психиатрия,5,5,1,1,3,3,3,5,4,3,3,5,1,5,3,1,5,5,1,4,3,1
Психиатрия,5,5,1,1,1,1,2,5,5,5,5,5,2,5,5,1,5,5,5,5,3,1
Психиатрия,5,4,5,2,2,1,4,4,5,4,3,4,4,4,2,1,5,5,5,5,5,3
Психиатрия,4,4,1,1,1,1,2,5,4,4,5,5,1,5,2,1,5,5,4,5,1,1
Психиатрия,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,3,4
Психиатрия,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Психиатрия,4,4,3,4,4,4,4,3,5,5,4,4,3,4,4,4,4,5,3,4,4,4
Психиатрия,5,5,1,1,1,1,1,5,5,3,4,4,1,5,5,1,5,4,3,2,1,1
Психиатрия,5,5,1,1,4,4,4,1,5,5,5,5,4,5,5,1,2,5,4,1,1,4
Психиатрия,5,5,4,1,1,2,3,3,5,2,4,5,4,4,5,5,3,5,3,2,5,2
Психиатрия,4,5,3,4,4,4,4,5,5,5,4,5,2,5,4,1,5,3,2,1,2,1
Психиатрия,4,5,1,1,2,1,3,4,4,3,5,4,1,4,3,2,3,5,2,4,4,4
Психиатрия,5,5,1,1,1,1,1,4,5,4,5,5,2,5,4,2,5,5,4,4,3,2
Психиатрия,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Психиатрия,5,5,3,5,5,5,5,3,5,4,5,5,2,3,4,3,5,5,2,1,2,3
Психиатрия,5,5,1,1,1,1,5,4,5,5,5,5,1,2,5,2,3,5,5,1,1,5
Психиатрия,4,4,1,1,1,1,1,4,4,4,4,4,1,5,4,1,5,4,3,1,1,4
Психиатрия,4,2,1,1,2,1,5,4,5,4,5,5,2,5,5,4,5,5,2,4,2,5
Психиатрия,5,5,5,5,5,5,5,3,5,4,5,3,3,4,5,3,3,5,3,2,3,5
Психиатрия,3,4,3,2,3,3,5,5,4,1,5,5,2,5,5,3,5,5,4,4,1,2
Психиатрия,5,4,1,1,4,5,4,5,5,4,4,5,2,5,5,5,5,5,4,5,5,5
Психиатрия,5,5,1,1,1,2,1,2,5,5,5,2,2,2,2,2,3,5,3,3,2,3
Психиатрия,5,5,1,1,1,4,5,4,5,5,4,5,4,5,2,4,5,5,2,5,5,4
Психиатрия,5,5,2,2,2,2,4,5,5,5,2,5,2,5,2,5,5,5,4,2,2,2
Психиатрия,5,5,1,1,1,1,3,3,4,4,5,5,2,5,3,3,4,5,2,4,2,3
Психиатрия,5,5,1,1,1,1,4,5,4,1,4,5,1,5,1,1,3,2,2,4,2,2
Психиатрия,5,5,2,3,2,3,4,4,5,3,4,5,2,4,5,1,4,5,5,5,3,5
Психиатрия,5,5,1,1,1,1,3,5,5,3,3,4,1,5,1,1,4,5,5,5,1,4
Психиатрия,5,5,1,1,1,1,3,5,5,5,5,5,1,5,1,1,5,5,5,5,2,4
Психиатрия,5,5,1,1,1,1,2,4,4,4,4,5,1,4,2,2,4,5,4,4,3,4
Психиатрия,4,4,2,1,2,2,3,3,4,4,3,4,2,4,2,2,4,5,4,4,1,4
Психиатрия,5,5,1,1,1,1,2,3,4,3,3,4,1,4,1,1,4,5,4,5,1,4
Психиатрия,5,5,1,2,2,1,4,2,5,4,5,4,4,4,4,2,4,5,4,5,5,4
Психиатрия,2,4,1,1,1,1,4,5,5,4,3,5,1,5,2,1,5,5,2,5,1,1
Психиатрия,4,4,1,1,4,1,2,4,5,5,5,5,2,5,5,3,5,5,4,5,3,3
Психиатрия,5,5,1,1,1,1,4,4,4,4,5,5,1,5,3,2,5,5,2,5,4,1
Психиатрия,5,5,1,1,3,4,4,4,4,5,4,3,3,4,4,3,5,4,1,2,2,5
Психиатрия,5,5,5,5,5,4,5,4,5,5,5,5,4,4,5,5,3,5,4,1,1,5
Психиатрия,5,5,4,4,2,3,4,4,5,4,5,5,2,3,4,4,3,5,4,4,1,2
Психиатрия,5,4,1,1,3,1,5,5,5,4,5,5,2,5,4,1,5,5,4,4,3,1
Психиатрия,5,5,1,1,1,2,4,4,5,4,5,5,1,5,2,1,5,5,4,3,1,4
Психиатрия,5,5,1,3,1,2,2,5,5,2,2,5,1,5,5,3,5,5,2,5,5,4
Психиатрия,4,5,1,1,3,1,4,3,4,1,4,4,2,5,3,3,3,5,3,4,3,2
Психиатрия,5,5,1,1,3,2,4,2,5,3,3,5,2,5,4,4,5,5,1,5,4,4
Психиатрия,5,5,2,2,1,2,5,1,5,1,5,5,3,5,5,3,5,5,5,5,1,3
Психиатрия,5,5,1,1,4,2,4,1,2,2,5,2,4,5,4,2,5,5,5,4,2,4
Психиатрия,5,5,2,1,1,1,4,2,4,4,2,5,1,4,4,1,4,5,5,5,2,1
Психиатрия,5,4,1,1,1,1,4,2,5,4,4,5,2,4,4,3,4,4,4,4,1,2
Психиатрия,5,5,2,2,4,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,1
Психиатрия,5,5,1,2,4,2,5,2,5,4,4,5,2,5,4,4,3,5,3,3,2,1
Психиатрия,5,5,2,2,2,1,5,2,5,5,5,5,2,5,5,1,4,5,4,3,2,2
Психиатрия,5,3,2,2,2,2,3,1,5,3,3,4,1,3,5,3,5,5,4,4,3,1
Психиатрия,4,5,2,1,2,1,4,4,5,4,4,4,2,5,4,5,5,5,5,5,4,4
Психиатрия,5,5,1,1,3,2,4,5,5,5,2,5,1,5,2,4,5,5,3,4,3,4
Психиатрия,2,5,2,1,1,1,5,5,5,2,1,1,1,5,1,1,5,5,1,5,5,2
Психиатрия,5,5,1,1,3,2,2,5,5,3,4,5,3,5,5,4,5,5,5,5,3,4
Психиатрия,5,5,1,1,2,1,3,2,4,1,3,4,1,3,3,1,3,5,3,4,3,3
Психиатрия,4,4,1,1,3,5,3,5,5,5,5,5,1,5,5,5,5,5,3,5,5,5
Психиатрия,5,5,2,2,2,2,5,4,5,1,4,4,2,4,5,1,5,5,4,4,1,4
Психиатрия,4,5,1,1,1,2,2,4,5,5,5,5,1,2,4,1,2,5,5,5,1,1
Психиатрия,5,5,5,3,4,2,5,2,5,5,5,5,2,2,5,4,4,5,3,4,2,5
Психиатрия,4,4,1,2,2,2,4,4,5,3,5,4,1,2,4,2,2,4,3,4,2,4
Психиатрия,5,4,1,1,1,1,1,3,5,5,5,1,1,5,5,3,5,3,1,5,5,1
Психиатрия,4,3,2,2,2,3,4,2,5,3,5,4,2,4,4,3,3,5,4,3,2,4
Психиатрия,5,5,1,1,1,1,5,5,5,5,5,5,3,4,4,4,4,5,5,5,3,3
Психиатрия,5,5,1,1,1,1,2,4,5,3,4,5,1,5,3,1,4,5,5,5,1,1
Психиатрия,5,5,5,2,3,3,3,4,5,1,5,3,1,1,5,5,5,5,5,3,1,3
Профпатология,5,5,1,1,1,1,1,3,4,1,4,1,1,5,5,3,4,5,5,5,1,1
Профпатология,5,5,4,4,1,4,5,2,5,3,4,3,4,4,4,3,1,5,3,3,1,3
Пластическая хирургия,4,5,2,3,5,3,4,2,5,5,5,4,4,4,2,2,1,4,5,2,2,2
Педиатрия,5,5,2,2,2,2,1,4,5,4,4,5,2,2,4,4,4,5,4,4,2,1
Педиатрия,5,4,3,3,4,5,5,1,5,5,5,4,4,5,3,4,2,5,5,2,3,5
Педиатрия,5,5,3,3,4,5,5,1,5,5,2,5,2,2,5,5,5,5,5,2,2,2
Педиатрия,5,5,4,2,4,4,4,4,5,4,4,5,4,4,4,5,5,5,5,4,1,3
Педиатрия,2,2,1,1,1,1,1,2,2,2,1,4,1,1,5,4,3,5,5,5,1,1
Педиатрия,5,5,1,1,1,1,1,2,5,5,5,5,1,1,5,1,5,5,2,2,1,1
Педиатрия,3,5,1,1,1,1,3,5,5,5,3,5,1,3,3,3,3,5,4,5,3,3
Педиатрия,4,3,1,1,1,2,3,4,4,4,4,4,3,4,4,2,3,4,3,4,2,1
Педиатрия,5,5,1,1,1,1,1,1,5,1,5,5,1,1,5,1,1,5,1,5,1,1
Педиатрия,4,5,5,3,4,2,2,4,5,2,4,3,1,2,5,3,4,5,3,1,2,4
Педиатрия,5,5,4,4,5,1,1,3,5,5,5,5,3,4,5,3,3,5,5,5,1,4
Педиатрия,4,4,1,1,1,2,2,1,3,2,3,5,3,2,4,2,4,5,2,5,1,1
Педиатрия,5,5,3,1,4,2,1,2,5,1,3,5,4,1,5,3,3,5,3,1,1,5
Педиатрия,5,5,1,1,2,3,1,3,5,2,3,5,3,4,5,2,4,5,2,4,1,1
Педиатрия,4,2,2,1,1,2,1,2,5,1,5,4,2,1,5,4,4,5,3,5,1,2
Педиатрия,5,5,5,2,3,2,1,4,4,1,3,4,3,4,4,4,4,5,4,4,3,4
Педиатрия,4,5,1,1,1,1,4,2,5,5,5,5,2,2,5,4,2,5,5,2,2,4
Педиатрия,5,5,4,2,5,4,4,2,5,4,4,2,2,3,3,4,2,5,4,4,2,4
Педиатрия,4,5,1,1,2,3,2,2,4,2,3,4,1,1,4,5,3,4,3,3,1,1
Педиатрия,2,5,4,5,5,5,2,3,4,5,5,5,3,4,5,4,5,3,3,3,3,4
Педиатрия,5,4,3,3,5,5,3,2,5,3,5,5,3,2,5,5,4,5,4,1,2,3
Педиатрия,3,3,1,1,1,1,1,3,5,5,5,5,3,1,4,5,5,4,4,1,3,3
Педиатрия,4,5,1,1,1,3,4,4,5,5,4,5,3,3,4,2,5,5,2,3,1,1
Педиатрия,5,5,1,1,1,1,3,3,5,4,4,5,2,5,5,5,4,5,5,5,1,1
Педиатрия,5,5,5,5,4,5,5,5,4,4,4,5,2,4,4,3,4,5,5,4,4,2
Педиатрия,5,3,2,1,2,2,1,4,5,4,4,1,1,4,5,3,5,5,3,4,2,2
Педиатрия,5,4,2,2,2,2,2,5,5,1,5,5,2,5,5,5,5,5,4,5,2,5
Педиатрия,5,4,1,1,5,4,3,4,5,2,4,5,4,5,5,4,5,5,2,4,1,4
Педиатрия,5,4,1,1,1,1,1,2,5,1,2,3,1,1,4,2,4,5,4,5,1,1
Педиатрия,4,5,4,3,3,4,3,5,5,2,2,2,2,4,4,3,5,5,2,4,2,2
Педиатрия,3,4,2,2,2,2,1,2,4,3,4,5,2,2,4,4,2,3,2,1,1,4
Педиатрия,4,4,1,1,2,3,4,2,5,5,5,4,3,3,4,2,3,5,3,4,2,5
Педиатрия,5,4,3,3,4,5,5,4,5,5,5,5,4,4,5,5,4,5,3,3,3,5
Педиатрия,5,5,3,3,3,4,3,5,5,5,4,3,2,4,5,5,5,5,5,5,3,2
Педиатрия,4,5,2,2,3,4,4,4,5,3,4,5,2,1,4,3,4,5,4,4,1,3
Педиатрия,5,4,2,1,1,2,2,3,4,1,4,4,2,3,3,3,5,5,3,4,1,4
Педиатрия,3,3,3,3,2,4,4,2,5,5,5,5,4,5,5,5,5,5,5,2,2,3
Педиатрия,5,5,1,1,1,1,3,3,5,1,5,5,3,1,5,5,5,5,5,5,1,1
Педиатрия,5,5,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3
Педиатрия,4,4,1,1,1,5,4,2,5,4,4,5,4,4,4,4,4,4,4,2,3,1
Педиатрия,5,2,4,4,5,4,4,1,5,5,5,5,4,4,5,1,4,5,5,4,1,5
Педиатрия,5,5,1,1,1,2,2,3,5,2,5,5,2,1,5,4,5,5,3,5,1,1
Педиатрия,4,5,2,2,2,2,2,1,5,4,5,4,2,4,3,3,3,5,4,4,1,1
Педиатрия,5,5,1,1,1,2,5,5,4,4,3,5,2,5,4,4,5,5,2,2,1,4
Педиатрия,2,2,1,1,1,1,1,4,3,1,4,4,1,1,4,5,5,5,5,5,1,5
Педиатрия,5,4,1,1,1,1,1,5,5,5,4,5,2,4,5,5,5,5,5,3,2,1
Педиатрия,3,1,1,2,1,3,2,2,5,2,5,3,1,3,4,3,3,5,4,1,1,5
Педиатрия,4,4,2,1,1,3,3,2,4,4,4,4,2,2,4,4,4,5,3,4,2,1
Педиатрия,1,5,3,1,1,2,1,1,5,2,5,5,3,3,2,2,4,4,3,2,3,2
Педиатрия,4,2,1,1,1,2,1,4,4,5,5,5,2,5,5,1,5,4,5,5,1,1
Педиатрия,5,5,3,4,5,4,4,2,5,1,4,5,2,1,4,4,3,5,5,5,2,1
Педиатрия,4,2,1,1,1,1,1,1,5,1,3,5,1,1,4,2,4,5,5,4,1,1
Педиатрия,4,5,4,3,3,3,5,5,5,4,3,5,3,3,5,4,5,5,3,2,3,4
Педиатрия,3,3,2,2,2,2,2,3,5,3,3,4,3,4,3,4,4,4,5,1,1,3
Педиатрия,5,5,4,5,5,2,5,3,5,5,5,5,3,1,5,5,4,5,1,1,2,5
Педиатрия,5,5,5,5,3,3,5,5,5,3,5,5,3,5,5,5,5,5,5,5,3,1
Педиатрия,5,5,1,1,3,2,1,4,5,3,4,5,2,3,4,2,5,4,3,4,2,1
Педиатрия,5,4,1,2,1,2,1,1,5,1,2,5,2,1,5,5,3,5,5,5,2,1
Педиатрия,5,4,2,3,3,3,3,3,5,1,5,3,1,5,3,4,4,5,4,3,1,1
Педиатрия,5,4,1,3,1,3,3,3,5,3,4,4,2,4,2,4,5,5,3,3,1,3
Педиатрия,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,3,3
Педиатрия,5,5,3,3,4,4,4,5,5,5,5,3,3,5,5,5,5,4,5,5,3,2
Педиатрия,5,5,1,1,2,2,4,5,5,5,5,5,4,5,5,5,5,3,5,5,3,1
Педиатрия,4,4,1,1,2,1,2,4,5,2,2,4,2,4,5,5,5,5,4,2,1,1
Педиатрия,5,4,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,4,4,5,2,1
Педиатрия,5,2,1,3,1,1,1,1,5,5,5,5,2,1,3,3,5,5,5,5,3,5
Педиатрия,3,1,1,1,1,1,1,2,5,5,5,5,2,5,5,2,4,5,4,5,2,1
Педиатрия,3,2,1,1,1,1,4,1,5,5,5,5,2,5,5,2,2,5,4,5,1,1
Педиатрия,5,4,3,3,3,3,3,4,5,5,5,5,3,3,4,3,5,5,4,4,3,2
Педиатрия,4,5,4,4,4,5,5,5,5,4,4,5,2,5,5,5,5,5,5,4,2,2
Педиатрия,3,4,3,3,4,4,4,4,5,2,4,5,3,4,4,4,4,4,3,4,3,4
Педиатрия,5,4,3,1,2,2,1,2,5,1,1,5,4,1,5,5,4,5,3,4,1,5
Педиатрия,5,5,1,1,1,1,2,3,5,2,2,5,1,1,5,5,5,5,4,2,1,1
Педиатрия,5,5,1,1,1,1,1,5,5,5,5,1,3,4,5,5,5,3,5,5,1,1
Педиатрия,5,5,2,2,2,3,2,4,5,5,4,5,3,5,5,4,5,4,5,5,1,1
Педиатрия,5,5,2,2,2,4,2,2,5,2,5,5,4,2,5,5,5,5,5,5,2,1
Педиатрия,5,5,4,4,1,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,3,3
Педиатрия,5,5,1,1,1,1,1,3,5,5,5,5,2,5,3,2,3,5,5,2,1,1
Педиатрия,5,4,2,2,4,5,5,3,5,1,5,3,2,4,2,5,5,5,4,3,1,2
Педиатрия,5,5,1,1,1,2,4,4,5,5,5,5,3,5,5,5,5,5,4,5,3,1
Педиатрия,5,5,2,1,1,2,1,1,5,4,4,4,1,1,3,4,4,5,2,2,1,1
Педиатрия,5,5,1,1,1,1,2,1,4,1,5,5,1,1,5,5,4,4,5,5,1,1
Педиатрия,5,5,4,4,3,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3
Педиатрия,5,4,3,3,2,2,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,2
Педиатрия,5,4,4,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4
Педиатрия,4,1,2,2,1,3,5,2,4,1,4,5,2,2,5,1,2,4,2,1,1,1
Педиатрия,5,5,1,2,1,1,1,5,5,1,4,5,1,5,5,4,4,5,5,5,1,1
Педиатрия,5,5,1,1,3,3,3,4,5,5,5,4,2,2,5,2,1,5,1,4,1,1
Педиатрия,5,5,5,5,3,3,5,1,5,1,3,5,3,5,5,5,5,5,1,1,1,1
Педиатрия,5,5,3,5,3,3,2,5,5,4,4,5,2,2,4,4,5,5,4,5,2,2
Педиатрия,5,5,1,1,1,4,4,4,4,4,4,4,4,4,3,1,3,4,2,4,4,1
Педиатрия,4,5,4,4,4,4,4,2,5,2,5,5,2,4,4,4,2,5,4,2,4,4
Педиатрия,5,5,4,1,3,1,1,1,5,5,5,5,3,1,4,5,5,5,4,3,1,5
Педиатрия,1,5,1,1,1,2,2,2,5,4,5,5,1,1,5,3,3,5,4,5,1,1
Педиатрия,5,5,3,4,2,3,2,5,5,5,5,5,3,1,5,4,5,5,3,1,1,3
Педиатрия,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1
Педиатрия,4,4,3,3,3,4,4,4,5,4,4,5,4,4,4,3,4,5,3,5,2,2
Педиатрия,5,3,2,1,1,2,2,2,5,4,5,5,1,1,5,5,5,5,4,5,1,1
Педиатрия,4,4,3,4,3,4,5,4,5,2,4,5,4,3,4,5,5,5,5,4,3,4
Педиатрия,5,5,5,5,5,5,5,4,5,5,5,3,2,2,5,5,4,5,5,4,2,4
Педиатрия,4,5,3,2,2,4,5,5,5,5,5,5,1,3,5,1,5,5,5,5,1,1
Педиатрия,5,4,2,4,1,1,2,3,5,2,3,1,1,5,4,2,4,5,5,3,2,1
Педиатрия,4,4,2,2,2,2,1,4,5,4,3,3,2,3,3,3,5,4,2,1,3,1
Педиатрия,2,4,1,1,1,1,1,4,5,1,4,5,3,1,3,3,4,5,4,4,1,1
Педиатрия,5,4,1,1,1,3,1,2,5,2,5,5,2,1,5,5,2,5,2,5,1,2
Педиатрия,4,4,2,2,2,4,2,1,5,5,5,5,2,1,5,5,5,5,4,1,2,2
Педиатрия,5,4,1,1,4,1,4,5,5,5,5,3,2,4,4,4,5,5,1,4,3,5
Педиатрия,5,4,1,1,1,1,1,5,5,5,5,5,2,5,5,4,4,5,5,5,1,1
Педиатрия,4,2,2,1,1,2,2,4,1,5,2,4,2,2,4,4,4,5,5,5,2,1
Педиатрия,5,5,2,2,2,2,2,4,5,2,5,5,2,2,4,2,2,4,4,2,2,2
Педиатрия,5,5,1,1,1,3,2,4,5,1,2,5,5,5,5,5,5,5,4,5,1,1
Педиатрия,5,5,2,2,2,2,4,4,5,2,2,5,4,4,5,4,4,5,5,3,3,2
Педиатрия,5,2,1,1,1,1,2,4,5,1,4,5,1,2,5,5,4,5,4,2,1,1
Педиатрия,5,3,2,2,2,2,2,1,5,2,4,5,2,1,5,2,5,5,5,2,1,1
Педиатрия,5,5,5,2,1,5,5,1,5,5,5,5,2,3,5,1,2,5,4,2,1,2
Педиатрия,2,4,1,1,1,1,1,4,3,3,4,4,1,1,4,4,5,2,3,4,1,1
Педиатрия,4,2,3,3,1,3,2,4,4,4,5,4,2,2,3,3,4,5,4,5,2,2
Педиатрия,2,4,1,1,1,1,1,1,1,1,3,5,1,1,3,3,5,5,1,1,1,1
Педиатрия,3,3,1,1,1,1,1,1,5,5,5,5,1,1,5,5,5,5,3,5,5,1
Педиатрия,4,5,1,1,1,1,1,5,5,1,1,5,1,3,5,5,5,5,3,4,1,1
Педиатрия,4,5,4,1,2,5,5,5,5,2,5,5,2,4,5,5,3,5,5,2,1,4
Педиатрия,4,4,1,1,1,1,1,5,5,1,4,1,1,4,4,5,5,5,4,4,1,1
Педиатрия,4,5,1,1,1,1,3,4,4,2,3,5,4,1,5,5,4,5,4,4,1,1
Патологическая анатомия,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,2,4,2,4,3,2
Патологическая анатомия,4,5,1,1,5,5,5,4,5,5,5,2,4,4,5,5,4,2,2,4,5,1
Патологическая анатомия,1,3,5,2,5,3,5,3,2,4,3,2,3,5,5,4,2,2,2,5,2,1
Патологическая анатомия,5,5,5,1,5,5,5,2,5,2,5,1,4,5,5,5,4,2,1,5,3,1
Патологическая анатомия,3,3,1,2,5,5,5,5,3,5,5,1,5,4,5,5,4,1,1,5,1,1
Патологическая анатомия,4,5,1,4,5,5,5,1,5,5,5,1,5,1,5,5,1,1,1,5,5,1
Патологическая анатомия,3,4,1,1,5,5,5,4,4,5,5,1,1,5,4,5,5,1,1,5,1,1
Патологическая анатомия,5,4,5,4,5,5,5,1,5,5,4,5,4,4,5,5,5,5,1,4,2,1
Патологическая анатомия,3,4,1,1,5,5,5,4,3,5,2,3,3,2,5,5,4,1,1,4,4,1
Патологическая анатомия,4,5,5,2,5,5,5,2,5,5,2,2,4,2,5,5,4,2,1,4,4,1
Патологическая анатомия,3,4,1,1,5,4,5,4,5,5,5,3,4,4,5,5,5,1,1,5,5,1
Патологическая анатомия,5,5,5,5,5,5,5,2,5,5,5,4,4,4,5,5,5,5,5,4,1,5
Патологическая анатомия,3,4,3,4,5,5,5,4,5,5,5,3,4,3,5,5,5,3,3,4,4,1
Патологическая анатомия,2,2,5,1,5,5,5,5,3,5,5,1,4,2,4,4,4,3,2,4,5,1
