Специальность, 1. Врач должен регулярно тесно общаться с пациентами," 2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты"," 3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию", 4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя," 5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы"," 7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии", 8. Врач проводит большую часть дня сидя на одном месте, 9. Врач должен быстро принимать решения и не теряться в критических ситуациях," 10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде, 12. Врач ведет одного и того же пациента длительное время: примерно год и более, 13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог", 16. У врача этой специальности более высокий риск заразиться от пациента," 17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер"," 18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов, 20. Врач работает по предсказуемому и постоянному графику," 21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам", 22. Работа предполагает ночные регулярные ночные или суточные смены
Патологическая анатомия,4,3,3,4,5,4,5,4,4,5,5,3,3,2,5,4,4,2,1,4,5,1
Патологическая анатомия,3,1,5,3,5,5,5,4,4,5,4,1,4,1,5,4,4,2,1,4,5,1
Патологическая анатомия,3,3,5,5,5,5,5,4,3,5,4,1,3,1,5,4,3,4,1,4,5,1
Патологическая анатомия,2,3,4,4,5,5,5,4,4,5,4,1,3,1,5,4,4,1,1,4,5,1
Патологическая анатомия,1,1,4,3,5,5,5,3,4,5,3,1,4,1,5,4,3,1,1,4,5,1
Патологическая анатомия,1,1,3,3,5,5,5,3,4,5,5,1,3,1,5,4,4,1,1,4,5,1
Офтальмология,4,5,2,2,2,1,2,2,5,5,4,4,3,4,3,3,4,4,4,4,3,2
Офтальмология,5,5,5,1,1,1,2,3,5,1,5,4,1,5,4,1,3,5,3,5,1,1
Офтальмология,4,3,3,2,2,2,2,2,4,2,4,4,3,4,5,5,4,4,4,4,3,3
Офтальмология,4,5,4,4,3,3,1,4,5,4,4,5,3,5,3,2,4,5,5,5,2,2
Офтальмология,4,5,1,1,1,2,2,1,5,5,5,5,2,5,5,4,4,5,5,2,1,1
Офтальмология,4,5,3,3,4,5,3,3,4,2,4,4,4,2,4,4,2,4,4,2,2,2
Офтальмология,4,4,4,4,4,2,2,4,5,4,4,4,4,2,4,4,4,4,2,4,2,2
Офтальмология,4,3,2,1,3,2,1,2,5,3,3,4,2,4,4,2,3,4,3,4,1,2
Офтальмология,4,4,3,3,4,3,4,2,4,2,4,4,2,2,4,2,3,5,4,4,3,2
Офтальмология,3,3,2,2,1,1,1,4,3,1,2,5,1,5,3,2,2,4,3,5,1,1
Офтальмология,5,3,4,2,3,3,2,5,5,1,5,5,3,5,3,4,4,5,5,1,1,1
Офтальмология,4,3,1,1,1,1,1,4,5,3,4,4,1,5,1,2,3,5,5,5,1,1
Офтальмология,5,5,3,4,5,4,5,4,5,5,5,4,4,5,5,2,4,5,5,5,1,1
Офтальмология,5,5,5,5,5,3,5,3,5,5,5,5,4,4,5,4,3,5,5,4,3,2
Офтальмология,2,2,3,3,4,3,3,4,5,4,5,4,3,5,5,3,3,4,4,4,2,2
Офтальмология,5,4,5,3,1,1,1,2,5,5,4,5,3,5,1,2,1,5,5,4,1,1
Офтальмология,5,5,5,5,5,1,5,4,5,5,5,5,1,5,5,1,1,1,1,1,1,1
Оториноларингология,4,5,3,3,4,4,1,4,4,4,4,4,2,4,4,4,4,4,5,2,4,2
Оториноларингология,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,3,2,1,5
Оториноларингология,3,4,5,4,5,2,2,2,5,4,5,2,5,5,5,5,5,5,5,1,1,5
Оториноларингология,5,5,5,5,5,5,5,4,5,2,5,4,1,1,4,4,4,5,4,2,2,2
Оториноларингология,5,3,5,4,4,1,1,5,5,5,5,4,1,5,4,5,5,5,5,5,1,1
Оториноларингология,3,5,1,1,2,1,3,1,5,5,5,1,1,3,5,1,3,3,3,3,1,1
Оториноларингология,3,4,4,1,5,5,3,5,5,2,2,3,2,3,4,5,5,5,3,4,3,3
Оториноларингология,3,3,4,1,5,3,2,5,5,3,4,2,3,5,5,5,3,5,5,5,1,3
Оториноларингология,5,4,2,2,2,2,2,4,5,4,4,2,2,5,1,4,2,5,4,5,2,2
Оториноларингология,5,5,5,2,5,2,5,4,5,5,5,5,2,5,5,5,4,5,5,5,3,1
Оториноларингология,4,4,1,3,4,4,2,3,5,5,5,3,1,1,5,4,4,5,5,1,1,1
Оториноларингология,5,5,5,5,5,5,5,1,5,4,5,4,5,5,5,4,5,5,3,1,3,4
Оториноларингология,5,4,1,1,4,4,2,2,5,2,4,4,2,4,4,4,4,4,4,4,2,1
Оториноларингология,4,4,5,3,5,3,2,3,5,1,3,2,5,5,3,4,3,5,3,4,1,3
Оториноларингология,4,4,4,3,4,4,4,3,5,3,4,4,3,3,4,5,3,4,4,4,3,3
Оториноларингология,5,3,5,4,5,2,3,1,4,3,5,4,3,5,2,3,3,5,5,4,1,3
Онкология (хирургия),4,3,4,4,5,5,5,3,5,5,5,1,3,4,5,5,4,5,4,4,5,5
Онкология (хирургия),5,5,4,2,5,3,5,1,5,5,5,3,5,5,4,4,3,5,5,3,4,4
Онкология (хирургия),4,5,3,5,5,5,5,1,5,2,5,2,5,2,5,3,4,5,4,5,5,5
Онкология (хирургия),5,5,5,5,5,4,5,4,5,4,5,5,5,2,5,3,4,5,3,2,1,5
Онкология (хирургия),5,4,5,4,3,5,4,1,5,1,5,1,5,2,4,2,2,5,2,5,5,4
Онкология (хирургия),5,4,5,4,5,5,5,2,5,3,4,1,5,2,4,3,4,5,3,4,5,3
Онкология (хирургия),5,5,5,5,5,5,5,1,5,2,5,2,5,3,5,2,3,5,4,5,5,4
Онкология (хирургия),5,5,5,5,5,5,5,1,5,3,5,2,4,2,5,2,2,5,3,4,5,5
Онкология (хирургия),5,5,5,5,4,5,4,1,5,2,5,1,4,1,5,2,3,5,3,4,5,4
Онкология (хирургия),5,5,5,4,4,4,5,1,5,1,5,2,5,2,5,3,2,5,4,5,5,5
Онкология (хирургия),5,5,5,4,5,3,5,1,5,2,5,2,5,3,5,3,4,5,3,5,5,4
Онкология (хирургия),5,5,5,4,5,5,5,2,5,3,5,2,5,2,5,5,5,5,4,5,5,5
Онкология (хирургия),5,5,5,4,4,4,5,1,5,1,5,2,5,2,4,2,4,5,4,5,5,4
Онкология (хирургия),5,5,4,5,5,5,5,1,5,1,5,3,5,3,4,4,2,5,3,5,5,5
Онкология (хирургия),5,5,5,3,5,5,4,1,5,2,5,3,5,2,4,4,3,5,4,4,5,5
Онкология (хирургия),5,4,5,5,5,5,5,1,5,1,5,3,5,3,4,4,2,5,2,5,5,5
Онкология (хирургия),4,5,5,4,5,5,5,1,5,2,5,2,5,3,5,4,5,5,4,5,5,5
Онкология (хирургия),5,5,5,4,4,5,5,2,5,2,5,1,5,4,2,4,3,5,2,5,5,5
Онкология (хирургия),5,5,4,5,4,4,5,2,5,1,5,1,5,3,3,4,4,5,3,5,5,2
Онкология (хирургия),5,5,5,5,5,5,5,2,5,2,5,2,5,1,5,4,2,5,4,4,5,4
Онкология (хирургия),5,4,5,5,5,4,5,1,5,4,5,2,5,2,5,4,3,5,3,5,5,4
Онкология (хирургия),5,5,5,5,5,4,5,2,5,2,5,2,5,2,4,3,3,5,3,5,5,5
Онкология (хирургия),5,4,5,5,5,5,5,2,5,5,5,2,4,2,5,4,4,5,2,5,5,4
Онкология (хирургия),5,5,5,4,5,5,5,2,5,4,5,3,5,5,2,5,4,5,4,5,5,2
Онкология (хирургия),5,4,5,4,5,5,4,2,5,2,5,1,5,4,2,5,4,5,5,5,5,4
Онкология (хирургия),5,5,5,5,5,5,4,2,5,4,5,2,5,1,5,4,4,5,2,5,5,2
Онкология (хирургия),5,5,4,5,5,5,5,2,5,4,5,2,5,3,3,4,4,5,3,5,5,2
Онкология (хирургия),4,5,4,2,3,3,4,3,5,5,5,3,3,3,3,2,4,4,2,2,2,4
Онкология (химиотерапия),4,5,2,2,1,1,5,4,5,1,4,5,1,5,2,1,5,5,5,5,1,3
Онкология (химиотерапия),3,5,2,5,5,2,5,4,5,5,5,5,2,5,3,2,4,5,5,4,1,4
Онкология (химиотерапия),2,2,1,1,1,1,4,4,4,2,4,4,1,5,1,1,4,5,3,5,1,1
Онкология (химиотерапия),5,5,3,1,5,2,5,3,5,1,5,3,1,5,1,2,4,5,5,5,1,2
Онкология (химиотерапия),2,3,1,1,1,1,4,3,5,1,5,3,1,5,1,1,2,4,4,4,1,3
Онкология (химиотерапия),2,2,1,1,1,1,2,3,5,1,2,3,1,4,3,2,3,4,4,4,3,2
Онкология (химиотерапия),5,5,1,1,1,1,5,5,4,1,5,5,1,5,1,1,5,4,5,5,3,1
Онкология (химиотерапия),5,5,3,2,4,2,4,3,5,1,3,4,2,3,5,1,4,5,5,4,1,3
Общая хирургия,5,5,4,2,5,4,5,4,5,5,5,5,3,5,3,5,4,5,4,5,5,1
Общая хирургия,4,4,2,2,5,4,4,2,3,1,4,1,4,4,2,5,4,5,1,2,4,5
Общая хирургия,4,5,4,4,5,4,3,3,5,3,3,3,2,5,3,5,5,4,1,3,5,5
Общая хирургия,5,5,5,4,5,5,5,4,5,4,5,3,4,4,5,5,3,5,3,3,5,5
Общая хирургия,5,5,5,5,5,5,5,1,5,1,5,2,5,4,5,5,4,5,4,2,5,5
Общая хирургия,5,5,5,3,5,4,5,4,5,5,5,1,4,1,5,5,5,5,1,1,5,5
Общая хирургия,5,5,5,5,5,5,5,2,5,2,5,1,3,4,5,5,2,5,5,1,5,5
Общая хирургия,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Общая хирургия,4,5,5,5,5,5,5,4,5,1,4,1,3,4,2,5,4,5,5,1,4,5
Общая хирургия,4,5,5,1,5,4,5,4,5,1,3,5,5,3,5,5,3,5,3,5,5,5
Общая хирургия,4,4,5,4,5,5,5,1,5,4,4,5,4,5,5,5,5,5,1,1,1,5
Общая хирургия,5,5,5,4,5,4,5,1,5,1,5,5,5,1,5,5,1,5,5,5,5,5
Общая хирургия,1,1,1,5,1,1,1,3,1,1,1,4,1,3,4,1,2,1,4,4,1,1
Общая хирургия,5,5,5,1,5,4,2,3,5,4,4,4,4,4,4,5,3,5,3,4,4,3
Общая хирургия,5,5,2,2,4,4,3,2,5,1,4,2,2,4,4,2,4,5,4,4,2,2
Общая хирургия,3,4,5,3,5,5,5,1,5,4,5,5,5,5,5,5,4,5,5,1,5,5
Общая хирургия,5,3,4,2,5,2,4,4,5,2,4,2,4,2,4,3,3,4,2,2,2,5
Общая хирургия,5,5,5,4,5,5,5,2,5,4,5,2,5,3,5,5,3,5,5,2,5,4
Общая хирургия,3,5,4,2,5,5,5,5,5,1,2,1,4,3,3,5,2,5,4,1,2,3
Общая хирургия,1,4,3,1,5,3,2,5,4,3,2,5,1,3,5,4,5,4,4,3,5,5
Общая хирургия,5,5,4,1,4,1,2,5,5,1,4,1,3,4,4,5,5,4,3,3,5,5
Нефрология,5,4,5,3,5,3,5,3,4,3,3,5,2,3,5,1,3,5,2,4,1,1
Неонатология,5,5,4,4,5,2,5,3,5,5,5,2,4,5,3,3,3,5,2,1,1,5
Неонатология,4,5,3,3,4,3,2,3,5,4,4,1,1,5,4,3,2,5,2,1,1,5
Неонатология,3,5,2,1,5,3,5,1,5,1,5,1,4,5,4,4,3,5,3,2,3,5
Неонатология,5,5,5,1,5,5,4,2,5,4,4,1,3,5,5,3,3,5,1,1,1,5
Неонатология,5,4,2,1,2,2,5,4,5,4,5,1,2,4,4,2,3,5,4,4,2,4
Неонатология,5,4,4,2,2,1,5,2,5,2,5,1,2,4,4,1,3,5,4,5,3,5
Неонатология,5,5,3,1,3,3,4,2,5,1,5,3,3,4,5,4,4,5,4,4,3,5
Нейрохирургия,5,5,5,5,5,5,5,2,5,2,4,1,3,5,2,5,3,5,3,3,5,4
Нейрохирургия,5,5,4,4,2,4,4,2,5,2,4,2,2,2,4,2,4,5,3,2,4,4
Неврология,5,5,2,2,2,2,5,4,5,4,5,4,1,4,4,5,4,5,4,3,3,5
Неврология,5,5,1,1,2,1,4,2,5,1,4,4,4,4,4,4,5,5,1,1,1,5
Неврология,4,3,3,3,4,4,4,3,4,3,4,4,4,4,3,2,5,4,4,4,2,5
Неврология,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Неврология,5,5,3,2,1,1,4,4,3,1,4,3,1,5,2,1,3,5,5,5,1,3
Неврология,4,5,1,1,1,2,4,5,5,1,5,5,2,5,1,1,1,5,2,5,1,1
Неврология,5,5,1,1,1,4,5,1,5,5,5,4,2,4,5,1,2,5,2,1,1,2
Неврология,4,5,1,2,3,1,5,2,5,4,4,4,1,5,4,2,3,4,4,3,2,2
Неврология,4,5,1,1,1,2,5,5,5,1,3,4,2,3,5,1,4,5,3,4,1,2
Неврология,4,4,3,3,4,4,5,4,5,4,4,4,4,4,3,3,5,5,4,3,3,4
Неврология,5,5,3,3,3,2,5,3,5,3,5,2,3,4,3,3,4,5,4,4,2,3
Неврология,5,5,3,3,2,2,4,2,5,2,5,4,2,4,5,1,3,5,5,5,2,5
Неврология,4,4,2,2,2,2,4,3,5,2,2,2,2,4,2,2,2,4,3,4,2,4
Неврология,4,5,2,2,3,2,3,3,5,4,4,2,2,3,4,2,4,5,2,4,1,3
Неврология,4,4,1,1,2,1,2,5,3,4,3,5,1,5,2,1,2,4,3,5,1,1
Неврология,3,4,1,1,2,1,4,5,5,5,4,5,1,2,5,1,4,4,2,4,1,1
Неврология,4,5,1,1,1,1,4,5,5,3,4,2,1,4,5,3,3,5,4,4,2,1
Неврология,5,5,1,1,1,1,1,1,5,4,5,4,1,4,5,1,2,5,4,4,1,2
Неврология,4,4,5,1,4,3,2,3,5,3,1,4,2,3,5,2,3,3,3,5,3,1
Неврология,5,5,1,5,5,5,5,2,5,1,5,5,2,5,4,2,5,5,5,5,1,2
Неврология,5,5,4,3,3,3,3,3,5,3,5,4,3,3,3,3,3,5,4,4,3,4
Неврология,3,4,1,4,2,2,4,4,3,2,3,5,1,4,3,1,2,4,3,2,1,1
Неврология,5,4,5,4,3,3,4,5,5,1,5,5,2,3,4,3,4,5,4,2,2,2
Неврология,3,4,3,4,5,4,5,2,5,4,5,5,3,4,4,3,2,4,3,4,3,3
Неврология,5,3,2,2,2,2,3,4,4,1,3,4,2,4,3,2,3,4,3,4,3,1
Неврология,5,5,2,1,1,1,3,3,5,5,5,5,1,5,1,1,5,5,3,2,1,1
Неврология,5,5,2,2,1,1,5,5,5,2,3,3,1,5,3,1,3,5,3,5,1,2
Неврология,5,5,2,3,3,3,4,3,4,3,4,5,4,3,4,3,5,4,4,4,3,3
Неврология,5,5,4,5,4,4,5,1,5,5,4,5,2,5,4,3,5,5,4,3,3,5
Неврология,5,5,2,2,2,3,2,2,5,2,4,4,2,5,4,3,5,5,3,2,2,4
Неврология,5,5,4,3,4,2,5,2,5,4,4,5,2,5,4,2,3,4,4,4,3,2
Неврология,4,4,3,4,3,4,5,5,5,5,4,4,3,3,4,3,5,2,2,2,3,4
Неврология,5,5,2,1,2,2,4,4,5,1,4,5,2,4,4,2,2,4,4,5,1,1
Неврология,5,4,2,2,2,2,4,4,5,3,5,4,2,5,4,2,3,4,4,2,3,3
Медико-социальная экспертиза,4,4,1,1,1,1,3,4,4,5,5,4,2,1,5,3,5,1,2,4,1,1
Лабораторная генетика,2,1,1,5,4,3,2,4,3,5,4,2,2,5,3,2,3,1,1,4,1,2
Колопроктология,3,5,5,3,5,1,5,4,5,5,4,5,4,1,5,3,5,5,4,5,1,1
Клиническая фармакология,4,2,2,2,2,2,5,2,5,5,5,5,2,1,5,2,4,1,2,2,2,2
Кардиология,4,5,2,2,2,2,4,5,5,5,5,5,2,4,3,1,4,5,4,4,1,1
Кардиология,5,5,3,2,4,2,5,3,5,1,4,2,2,4,4,2,5,5,2,4,2,5
Кардиология,5,4,1,2,1,3,5,5,5,2,5,5,1,5,4,1,4,5,4,4,1,3
Кардиология,4,2,5,5,5,5,5,2,5,2,4,5,2,2,5,2,2,4,2,5,2,2
Кардиология,4,4,2,1,1,1,3,1,5,1,3,4,2,4,3,2,3,5,5,4,1,2
Кардиология,4,5,2,1,1,1,4,4,5,5,4,5,1,2,5,1,4,4,5,2,1,1
Детская эндокринология,5,4,1,1,1,1,3,4,2,1,5,5,1,5,5,2,5,4,4,4,1,1
Детская эндокринология,5,4,1,1,1,1,1,3,4,2,5,5,2,2,4,1,3,5,4,4,1,1
Детская эндокринология,4,5,1,1,1,1,4,5,4,2,4,5,1,5,4,1,3,4,4,5,1,1
Детская эндокринология,5,4,2,2,3,2,5,3,5,1,2,5,2,4,3,1,1,5,5,3,1,4
Детская эндокринология,4,5,1,1,1,1,1,3,5,5,5,5,3,1,5,5,5,5,1,1,1,5
Детская хирургия,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Детская хирургия,5,5,4,4,5,4,4,1,5,4,5,3,4,4,4,5,5,5,5,1,2,5
Детская хирургия,5,5,5,4,5,5,5,1,5,5,5,5,4,2,5,2,2,5,3,4,2,4
Детская хирургия,5,5,5,3,5,3,2,2,5,5,5,3,2,5,4,5,2,5,4,4,4,1
Детская хирургия,5,5,5,1,5,3,2,2,5,4,4,2,3,4,5,5,4,5,3,3,5,5
Детская хирургия,2,4,1,1,1,4,2,2,5,2,5,2,2,2,4,4,3,5,5,2,4,2
Детская хирургия,5,4,4,1,5,2,3,2,4,4,5,5,4,2,4,4,2,4,2,2,5,4
Детская урология-андрология,5,4,1,1,1,1,1,2,3,3,3,4,1,4,2,3,2,4,3,5,4,2
Детская онкология (химиотерапия),5,5,4,2,5,3,5,5,5,5,5,5,2,4,5,2,4,5,4,4,1,1
Детская онкология (химиотерапия),5,5,4,3,3,2,5,2,4,2,5,5,2,4,2,2,2,5,3,2,1,3
Детская кардиология,5,5,3,2,2,2,2,4,5,3,5,5,3,4,3,2,5,5,5,5,3,2
Детская кардиология,5,5,1,1,1,1,1,5,5,3,1,5,2,5,5,2,5,5,3,4,4,2
Детская кардиология,4,5,2,1,1,1,4,4,5,4,3,5,1,4,2,2,4,5,2,4,3,1
Детская кардиология,5,5,4,1,1,1,4,4,4,1,5,5,1,4,2,2,1,5,5,4,1,2
Детская кардиология,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,3
Дерматовенерология,5,4,4,4,5,5,4,4,5,5,5,5,5,2,5,3,5,5,4,5,3,5
Дерматовенерология,4,5,1,1,1,1,1,3,5,5,5,5,4,5,4,4,5,5,4,5,3,3
Дерматовенерология,4,4,2,2,2,2,3,4,4,3,3,4,2,4,4,3,4,4,3,4,3,2
Дерматовенерология,5,5,5,5,5,5,5,1,5,5,5,5,1,2,3,1,4,5,3,3,1,1
Дерматовенерология,5,3,3,3,5,3,5,4,4,4,5,4,3,5,4,5,5,5,5,5,3,2
Дерматовенерология,5,1,4,3,2,3,3,4,5,5,4,3,3,4,4,1,3,5,3,5,1,5
Дерматовенерология,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5
Дерматовенерология,5,5,4,4,4,3,5,5,5,5,5,5,5,3,5,5,4,5,5,3,1,5
Дерматовенерология,5,4,1,1,3,1,2,3,4,3,3,4,2,5,2,3,4,4,3,4,3,1
Дерматовенерология,5,5,5,4,5,5,4,5,5,1,5,3,3,5,4,5,5,5,1,5,5,1
Дерматовенерология,3,5,3,3,5,4,3,5,5,2,2,2,1,5,3,5,5,5,2,5,3,1
Дерматовенерология,2,3,2,2,4,4,2,5,5,2,3,2,1,5,2,5,5,5,4,4,3,1
Дерматовенерология,4,5,3,2,5,5,5,5,5,1,5,1,2,5,4,5,5,5,2,5,3,1
Дерматовенерология,4,3,2,2,3,1,2,4,5,3,4,4,2,4,4,4,3,4,4,4,1,3
Дерматовенерология,1,1,2,2,2,2,2,1,1,4,1,4,2,1,1,4,2,1,3,1,4,4
Дерматовенерология,5,5,1,1,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5
Дерматовенерология,2,4,1,1,4,1,1,5,4,1,4,2,1,5,1,5,4,5,4,3,1,1
Дерматовенерология,5,5,4,4,5,3,3,5,5,5,5,5,2,5,4,4,5,5,3,5,3,2
Дерматовенерология,3,5,3,1,2,1,3,5,5,4,1,4,1,5,3,5,4,4,5,3,4,3
Дерматовенерология,1,3,3,3,3,3,3,4,3,4,4,4,3,4,4,2,3,3,4,5,3,2
Дерматовенерология,3,3,2,2,2,2,2,4,4,3,4,3,2,4,4,2,4,4,4,5,2,2
Дерматовенерология,4,4,1,1,1,2,1,3,2,1,1,5,2,5,1,2,3,5,2,4,1,1
Дерматовенерология,4,5,4,2,5,4,5,4,5,5,5,4,2,1,5,4,5,5,3,2,1,2
Дерматовенерология,2,1,1,1,1,1,1,3,3,1,3,3,1,4,2,2,3,4,3,4,2,1
Дерматовенерология,5,4,3,3,2,2,2,4,4,4,5,3,3,3,4,5,4,4,5,4,4,2
Дерматовенерология,5,4,3,1,4,1,1,4,5,4,4,3,3,5,4,5,2,5,4,4,1,1
Дерматовенерология,2,2,5,5,5,5,2,2,5,3,5,2,2,5,5,4,4,5,4,4,1,1
Дерматовенерология,5,2,3,3,4,2,3,4,5,3,2,2,1,5,2,5,3,5,4,4,2,1
Дерматовенерология,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Гериатрия,5,4,1,1,1,2,4,5,5,4,5,2,2,2,5,4,5,5,4,4,2,2
Гериатрия,5,4,2,2,1,2,2,5,5,4,5,1,1,2,4,4,5,5,4,2,2,4
Гериатрия,5,5,1,1,2,2,4,5,5,4,4,1,2,2,5,4,5,5,4,3,1,2
Гериатрия,5,4,1,1,2,2,4,5,5,4,5,1,2,2,4,4,5,5,4,5,1,2
Гериатрия,5,5,1,1,1,2,4,5,5,4,5,1,2,2,4,4,5,5,4,5,1,2
Гериатрия,3,4,5,2,5,2,5,1,5,4,5,5,3,5,5,5,4,5,1,2,1,4
Гериатрия,5,4,1,1,1,1,5,3,4,4,5,4,2,5,5,2,4,4,4,5,1,2
Генетика,2,1,1,3,3,1,1,3,1,2,3,1,1,1,1,1,3,1,3,5,1,1
Гематология,5,5,3,1,3,4,5,4,5,4,5,5,1,5,5,2,3,5,1,2,1,5
Гематология,5,5,4,3,5,2,5,4,4,1,3,5,2,3,5,2,2,5,5,3,3,2
Гастроэнтерология,5,5,1,1,1,3,5,3,5,5,5,1,1,5,5,1,5,1,5,5,1,1
Гастроэнтерология,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,2,5
Гастроэнтерология,5,5,1,1,2,2,5,1,5,4,5,3,1,1,5,3,4,5,4,4,1,5
Гастроэнтерология,5,5,3,2,2,2,1,5,5,2,5,5,2,3,5,2,5,5,5,5,2,2
Гастроэнтерология,4,5,4,2,5,5,5,3,5,1,5,4,2,5,5,4,2,5,5,5,2,4
Гастроэнтерология,5,5,1,1,1,1,3,4,5,1,2,4,1,4,4,3,4,4,2,3,2,1
Гастроэнтерология,3,3,1,1,1,1,2,5,5,1,5,5,1,4,3,1,2,3,3,4,1,3
Инфекционные болезни,5,5,4,2,2,1,2,2,5,5,5,2,1,5,5,4,2,5,5,5,1,4
Инфекционные болезни,5,5,5,4,5,4,5,4,5,5,5,2,2,5,5,4,2,5,5,5,2,5
Инфекционные болезни,5,5,2,2,3,1,5,2,5,5,5,5,2,4,3,5,2,5,5,1,1,5
Инфекционные болезни,5,4,3,3,5,3,4,3,5,3,5,3,1,3,5,5,2,5,5,3,1,3
Инфекционные болезни,5,4,1,1,1,1,2,3,5,1,5,2,2,2,3,5,5,5,5,5,2,1
Инфекционные болезни,2,1,1,1,1,1,4,4,4,2,2,4,2,4,4,4,4,2,2,4,2,1
Инфекционные болезни,5,5,4,3,4,5,4,3,5,4,5,4,4,4,4,5,4,5,3,3,3,5
Инфекционные болезни,5,5,1,1,3,3,3,3,5,3,5,3,3,5,2,3,5,5,2,3,1,3
Инфекционные болезни,5,5,3,2,2,3,5,4,5,1,4,3,2,5,4,4,4,5,5,4,2,4
Инфекционные болезни,4,5,2,3,5,5,5,4,5,5,5,3,2,5,5,5,3,5,4,1,1,5
Инфекционные болезни,2,4,4,2,4,1,4,3,5,4,5,4,3,5,5,1,5,4,3,1,1,4
Инфекционные болезни,5,5,3,3,4,4,4,5,5,4,5,3,2,3,4,2,4,4,2,1,3,4
Инфекционные болезни,5,5,4,3,4,3,4,5,5,4,5,4,3,5,4,4,4,5,2,2,2,3
Инфекционные болезни,2,1,1,1,1,4,5,4,5,4,5,1,1,1,5,2,5,1,5,1,1,1
Инфекционные болезни,5,5,5,5,5,4,5,4,5,5,5,4,4,5,5,4,4,5,4,4,3,5
Инфекционные болезни,5,3,5,4,3,3,3,2,5,5,5,5,2,3,3,3,4,5,5,5,1,5
Инфекционные болезни,5,5,3,3,5,5,5,3,5,1,3,2,1,3,4,5,4,5,4,2,2,5
Инфекционные болезни,5,5,2,1,5,4,4,2,5,1,4,1,3,4,5,5,4,5,5,3,1,5
Инфекционные болезни,5,5,3,1,1,1,1,5,5,4,4,5,1,5,4,5,2,5,5,4,1,1
Инфекционные болезни,5,5,1,1,3,1,5,5,5,5,5,5,1,3,5,5,5,5,3,2,1,2
Инфекционные болезни,5,3,1,2,2,2,2,3,4,3,4,3,2,4,4,4,3,4,4,4,2,3
